FIPS,EP_POV150,EP_AFAM,EP_HISP,EP_ASIAN,RISK_SCORE,HWAV_RISKS
4012,34.0,0.9,27.7,0.8,69.01049952,91.69583201
4013,20.8,5.4,31.1,4.1,97.32739421,99.80909959
4015,26.4,0.9,16.7,1.2,88.41870824,96.18199173
4017,39.0,0.9,11.7,0.5,80.94177537,24.62615336
4019,25.9,3.2,37.5,2.8,94.97295577,99.1091314
4021,21.8,4.3,30.5,1.6,93.12758511,98.82278078
4023,36.6,0.3,83.3,0.4,68.37416481,93.60483614
4025,22.6,0.7,14.7,1.0,88.8323258,53.51574928
4027,31.9,1.7,64.1,1.1,91.66401527,95.00477251
5001,27.8,25.1,3.4,0.1,62.1062679,65.60610881
5003,34.5,24.7,5.6,0.2,59.43366211,78.93732103
5005,24.8,0.2,2.4,0.4,73.49665924,46.48425072
5007,16.5,1.5,16.8,3.9,87.55965638,94.43207127
5009,23.7,0.2,2.6,0.7,70.44225262,50.84314349
5011,30.6,27.5,15.4,0.1,30.60769965,67.86509704
5013,23.3,22.0,4.2,0.0,11.04040725,48.90232262
5015,24.5,0.2,15.1,1.4,68.2787146,75.05567929
5017,44.2,53.7,5.7,0.6,59.59274578,72.98759147
5019,33.2,24.2,4.8,0.6,51.79764556,75.27839644
5021,33.0,0.5,2.2,0.0,64.33343939,83.86891505
5023,25.0,0.9,2.4,0.3,72.44670697,53.7066497
5025,31.9,13.5,0.0,0.0,11.42220808,57.4610245
5027,36.8,36.2,2.8,0.8,48.45688832,77.53738466
5029,34.2,9.9,4.0,0.5,67.51511295,70.69678651
5031,27.1,15.1,5.1,1.3,92.33216672,88.80050907
5033,29.3,1.5,8.0,1.6,77.44193446,97.61374483
5035,33.3,48.4,2.7,0.7,80.75087496,93.70028635
5037,31.0,17.8,2.1,0.0,66.49697741,70.95132039
5039,26.0,43.0,1.6,0.0,13.96754693,55.39293668
5041,42.3,47.4,6.4,0.4,44.73433026,65.66974228
5043,34.7,28.4,3.6,0.0,39.6754693,70.31498568
5045,26.5,11.4,4.2,1.1,89.1823099,85.80973592
5047,35.2,1.0,3.2,0.7,49.92045816,91.82309895
5049,39.2,0.3,0.6,0.1,45.78428253,33.12122176
5051,27.5,8.3,5.8,0.8,86.12790328,87.78237353
5053,19.2,2.5,2.9,0.0,29.08049634,68.15144766
5055,27.8,2.3,2.9,0.4,78.68278715,91.50493159
5057,31.8,30.0,12.9,0.1,58.16099268,76.1374483
5059,26.2,11.2,3.5,0.2,61.85173401,77.82373528
5061,33.6,20.5,12.7,0.9,42.72987591,63.79255488
5063,27.1,1.8,6.6,0.8,78.04645243,69.77410118
5065,31.9,1.0,2.4,0.0,49.34775692,27.77601018
5067,36.1,11.5,3.0,0.1,74.92841234,71.30130449
5069,33.5,55.8,2.2,1.0,84.25071588,88.03690741
5071,33.5,1.5,14.0,2.3,69.26503341,82.37352848
5073,39.7,35.5,2.9,0.7,30.32134903,60.03818008
5075,30.2,1.4,1.6,0.1,68.97868279,75.62838053
5077,40.6,55.5,2.7,0.1,55.83837098,74.67387846
5079,29.2,30.2,4.1,0.0,46.86605154,64.90614063
5081,25.8,19.3,3.7,0.3,25.61247216,56.09290487
5083,29.7,1.5,3.1,1.6,52.05217945,64.55615654
5085,20.0,5.5,4.6,0.9,78.77823735,89.88227808
5087,31.4,0.1,5.8,0.7,61.78810054,62.93350302
5089,29.6,0.7,2.4,0.6,42.76169265,33.34393891
5091,31.3,25.0,3.4,0.3,74.22844416,82.46897868
5093,33.8,34.9,4.4,0.5,88.99140948,92.90486796
5095,35.0,42.3,1.1,0.2,61.53356666,55.17021954
5097,30.7,0.3,4.3,0.4,19.63092587,48.67960547
5099,28.2,34.8,0.0,0.1,17.18103723,61.24721604
5101,21.6,0.0,0.9,0.1,13.74482978,27.87146039
5103,36.8,42.2,2.4,0.0,53.61119949,75.08749602
5105,27.8,2.6,3.1,0.1,40.75723831,57.74737512
5107,41.5,63.5,2.0,0.0,65.28794146,83.80528158
5109,29.5,3.8,6.5,0.1,32.32580337,57.07922367
5111,33.9,3.7,3.2,0.0,77.37830099,86.47788737
5113,35.4,0.5,6.6,0.3,47.97963729,57.33375756
5115,29.9,2.6,9.2,1.1,82.85077951,84.69615017
5117,23.9,11.6,1.8,0.2,48.23417117,56.4747057
5119,26.0,36.9,6.2,2.1,95.06840598,98.18644607
5121,35.0,0.9,2.2,0.3,67.76964683,77.72828508
5123,40.4,52.7,5.3,0.7,80.01909004,89.91409481
5125,16.2,7.6,5.0,1.2,76.20108177,94.40025453
5127,31.0,2.2,7.9,1.4,31.18040089,44.06617881
5129,38.7,0.5,2.6,0.4,24.49888641,25.10340439
5131,28.8,6.1,14.4,4.5,83.93254852,82.94622972
5133,31.0,4.6,33.6,0.5,34.52115813,66.71969456
5135,34.6,1.0,2.4,0.0,66.14699332,48.1705377
5137,39.3,0.1,1.9,0.5,57.17467388,29.71683105
5139,28.0,32.9,4.0,0.8,61.91536748,89.40502704
5141,33.2,0.4,3.2,0.1,59.56092905,43.23894368
5143,26.4,3.4,16.9,2.5,91.02768056,95.89564111
5145,28.6,4.3,4.4,0.8,87.75055679,85.84155266
5147,35.2,29.2,0.2,0.0,66.87877824,51.60674515
5149,33.3,1.8,20.5,1.1,64.0789055,69.1695832
6001,14.3,10.1,22.2,31.0,99.87273306,92.30034998
6003,19.6,0.9,15.8,0.5,23.92618517,19.63092587
6005,15.3,2.2,14.3,0.9,77.79191855,94.33662106
6007,28.9,1.7,16.8,4.6,97.16831053,88.89595927
6009,20.0,1.0,12.5,1.9,86.44607063,83.90073178
6011,23.3,1.2,59.7,0.7,95.41839007,79.66910595
6013,13.7,8.2,25.8,17.2,99.58638244,95.67292396
6015,27.4,2.6,20.0,3.1,84.34616608,19.53547566
6017,13.7,0.8,13.0,4.7,91.6003818,92.65033408
6019,32.6,4.4,53.4,10.4,98.09099586,99.45911549
6021,25.6,0.6,42.2,3.1,94.8138721,85.5233853
6023,30.9,1.0,11.9,2.8,97.00922685,20.52179446
6025,36.3,2.4,84.7,1.3,98.05917913,96.7865097
6027,16.3,0.5,23.0,1.4,75.88291441,83.48711422
6029,33.8,5.1,53.9,4.7,99.0136812,97.90009545
6031,27.9,5.9,54.9,3.6,91.0594973,98.47279669
6033,28.9,2.3,21.3,1.4,91.91854916,63.85618836
6035,22.0,8.5,19.3,1.5,75.34202991,25.48520522
6037,23.7,7.8,48.3,14.6,100.0,98.44097996
6039,30.7,3.1,58.3,2.0,94.65478842,98.95004773
6041,11.2,2.1,16.1,5.7,96.02290805,74.29207763
6043,24.2,1.5,11.8,1.1,79.86000636,78.61915367
6045,26.6,0.5,25.7,1.9,95.10022272,49.31594018
6047,31.7,2.8,60.2,7.4,95.32293987,99.0136812
6049,25.7,1.4,14.9,1.9,80.84632517,22.97168311
6051,17.2,0.2,27.0,4.4,67.80146357,19.40820872
6053,22.2,2.4,59.0,5.6,98.37734648,86.54152084
6055,13.0,2.0,34.1,7.5,97.6773783,67.00604518
6057,16.4,0.3,9.5,1.1,84.0916322,81.57811009
6059,16.9,1.6,33.8,20.9,99.77728285,89.11867642
6061,11.3,1.6,14.3,8.0,89.34139357,96.34107541
6063,19.3,1.3,9.3,1.2,78.96913777,23.83073497
6065,21.6,6.1,49.4,6.5,99.93636653,98.75914731
6067,22.5,9.3,23.4,16.4,97.64556157,99.23639835
6069,17.0,0.8,60.1,2.6,93.85937003,68.78778237
6071,25.1,7.7,53.8,7.2,99.90454979,97.48647789
6073,18.3,4.6,33.9,11.7,99.68183264,97.86827871
6075,15.7,4.9,15.2,34.0,98.91823099,79.12822144
6077,24.0,6.8,41.7,15.5,97.77282851,95.57747375
6079,17.2,1.6,22.8,3.5,93.31848552,79.16003818
6081,10.4,2.2,24.1,29.0,99.33184855,92.96850143
6083,21.8,1.8,45.7,5.3,99.39548202,77.76010181
6085,11.6,2.3,25.1,37.4,99.84091632,97.39102768
6087,18.8,1.0,33.6,4.7,97.61374483,67.16512886
6089,24.0,1.0,10.4,3.2,95.29112313,91.56856507
6091,18.6,0.1,10.1,0.0,36.39834553,19.91727649
6093,28.1,1.5,12.9,1.2,90.614063,43.5252943
6095,15.2,13.3,26.8,15.1,98.21826281,96.27744193
6097,14.6,1.5,27.0,4.2,99.17276487,65.03340757
6099,24.6,2.9,46.9,5.7,95.8001909,92.74578428
6101,23.4,1.8,31.3,16.4,96.05472479,92.20489978
6103,31.2,0.6,25.6,1.7,93.06395164,92.42761693
6105,34.4,0.5,7.4,1.9,69.86955138,30.60769965
6107,35.9,1.3,65.1,3.4,95.76837416,99.65001591
6109,17.4,1.8,12.6,1.3,85.77791919,82.56442889
6111,16.0,1.7,42.8,7.1,99.42729876,73.01940821
6113,25.8,2.3,31.7,14.3,97.35921094,93.25485205
6115,25.0,3.3,28.8,6.6,89.02322622,88.95959275
8001,17.9,3.2,40.4,3.9,94.17753738,0.0
8003,35.9,0.3,47.1,0.9,34.33025772,0.0
8005,13.5,10.6,19.5,6.2,95.16385619,0.0
8007,17.2,0.9,18.4,1.1,14.98568247,0.0
8009,30.3,0.9,11.3,0.0,5.79064588,0.0
8011,37.3,4.1,32.3,0.7,8.622335348,0.0
8013,16.2,0.8,13.8,4.8,89.50047725,0.0
8014,8.0,1.2,12.6,6.6,67.2923958,0.0
8015,20.0,2.1,10.0,0.9,13.4902959,0.0
8017,20.8,0.2,10.4,1.1,5.217944639,0.0
8019,11.9,0.7,7.2,1.1,37.67101495,0.0
8021,35.6,0.3,52.2,0.3,6.204263443,0.0
8023,43.4,0.3,61.4,1.1,4.295259306,0.0
8025,34.3,5.0,31.9,1.3,5.249761374,0.0
8027,16.1,1.7,11.7,0.4,7.095132039,0.0
8029,29.6,0.6,15.2,0.9,16.57651925,17.46738785
8031,19.4,8.8,29.5,3.6,93.60483614,0.0
8033,11.2,0.0,14.1,0.0,1.30448616,19.37639198
8035,5.2,1.4,8.9,5.1,81.89627744,0.0
